,Comment,Username
0,"
How to make this review short. Fiat have a Winner on their hands!
I am in the process of looking for a replacement EV for my BMW i3 94Ah (33kW) Rex which has just gone 4 years old and now on 57,000 miles. I have been looking at and testing ideally long range EVs the past few days, as there are now a few about (Kona, Tesla M3, ID3 etc) but this car has caught my eye! I love a small car and the 500 shape has been around for a few years now. Invited to drive this and luckily for me the dealership here in South Wales had both coupe and convertible La Prima editions but only the convertible was ready for a test drive, which would not be my first choice,as the coupe has a lovely panoramic but non opening sunroof anyway. But also lucky as it was a stunningly beautiful sunny day today.
The design of this car is already a classic based as it is on the tiny original. Modernised and now even more smoothed off as an EV. Proportions almost perfect. What really has surprised me and my wife today was the solidity and cabin quality, style and use and mix of cabin materials though. In a Fiat small car at that. I am familiar with the Abarth 500 but this e version is a big step up quality wise. Really clear and colourful drivers display with plenty of available information and the central display large, clear and colourful in a horizontal format. But also highly responsive as a touch screen. Not laggy like a lot of touch screens. Another surprise. Wireless Apple Car Play (and Android Auto as far as I know) standard on this model. Not sure about other models in the range.
Lovely light coloured leather seat. Could be even more bolstered but still comfortable. Lovely to hold leather 2 spoke 2 tone steering wheel. Physical buttons on wheel to control menus on drives display. Rear mounted steering wheel push buttons to control entertainment volume and source etc. 
Nice and clearly marked push button dashboard mounted drive buttons for P,R,N,D. Proper physical ventilation buttons/switches above that! Praise be! Wireless charging mat for phones in between the 2 sections. Accommodated my iPhone 12 Pro Max no problem.USB socket on dash and in central storage cubby. Also deep storage under central armrest. Marketed as a 2+2 of course but very tight in the back seats. A 2+0!? For storage or for small children or short distance emergency passenger lifts only. The coupe seats fold flat 50:50 but did not check the convertible but boot very very small and no major under boot storage- just puncture repair and 3 pin charge cable space really. No frunk.

Now for the driving. Even more impressed. Again that feeling of solidity. Super smooth ride on dual carriageway. Can be firmish over broken tarmac but mainly due to the short wheelbase. Has a firmish edge to it but controlled/very well damped. Dealt with numeorus speed bumps with no crashing or thumping at all. Another surprise. Took them with ease smoothly and softly.
This car is FUN to drive. Really holds the road well. Fast, direct and responsive steering. Not much feel but par for the course nowadays. It has that thing called ""character!"". If it was a dog it would be a terrier! Have no idea how powerful it is but is fast enough. Not i3 fast but fun and fast enough. Accelerates with ease, and passes other traffic easily. Typical of an EV.

And then there is the roof on the convertible. Certainly aware of more wind noise above your head when closed (Would like to compare with the coupe at some point). Individual ceiling mounted buttons to open - in 2 stages. Seems to open and close at any speed. We did at 40+mph. Not sure if there is a speed limit on its function. 1st press opens to a very large sunroof. 2nd press of same button folds canvas roof to back of car. Obscures rear vision mostly in that position. With windows open it does give the full convertible feel even though roof rails/structure still up and in place. Would have been nice to have some sort on inner sun mesh screen but I guess this would have been impossible design wise, as sun was blinding and harsh feeling on top of our heads at 2pm this afternoon. It is the only new convertible EV available as far as I know, so worth it! (excluding original and forthcoming Tesla roadster)
3 drive modes activated by a lever type switch between the seats. Normal, Range and Sherpa. Range does give you some re-gen effect which is very welcome but not 1 pedal driving as far as I could tell. Was having too much fun to test that.
Did not drive economically. Could you tell? Re-set dash trip meter at beginning and set to efficiency page. Covered 15 miles which included a mountain. Started on 83%. Back to dealership with 72%. 40 min drive but at least 10 mins fiddling with info screens and setting seats and mirrors etc. Average consumption 15.0kWh/100km. Not familiar with that combination of units but google seems to suggest 4.14mi/kWh. Warm day-16-18 degC/dry. Impressed with that as had it on Normal mode for most of drive. I think this has a 45kWh battery but as is often the way I am not sure if that is gross or net. Either way this is an impressive car. If we say it has a 40kWh battery then 150-160 mile real world range. I think Fiat have quoted a WLTP range of up to 199 miles? Driven more sedately nearer 200 miles should be possible but this is a type of car that does not necessarily encourage that!
Will hopefully get to try the coupe at some point. I gather they charge at 85kW. Once the charging infrastructure improves (I have been saying the same thing every year!), then it will be a no brainer to buy and run one of these. (Perceived) High quality little car. Small battery but big enough for urban trips and fast enough charging to do a longish trip. With the convertible roof it makes any trip an event. Especially on a sunny day. Would be good to try it in heavy rain. Noise? Insulation from the elements? Leaks? Perhaps present 500 convertible owners can advise.
Anyway this is a very welcome addition to the EV market, which is expanding almost daily at present. Fiat has definitely got its **** back. Or hit the EV target with this one. 
And they were offering discounts and good finance deals back at the dealership. APR was 5.?% 

As I have ended another review of a car I tested this week, on another part of the forum: this is my opinion of the car I test drove. Your opinion may differ. This is to inform people who may be interested in this car but unable to sample one for themselves at this time. Look forward to other reviews from you all at some point!
 
","
MarkyM
"
1,"
Nice review, I am having a test drive on Tuesday, can I ask what sort of discounts were offered, see we were both looking at the Ioniq 5 on an other forum.
 
","
WillWord
"
2,"
I saw Jonny Smith’s early review of this and thought it looked great.
 
","
idiotzoo
"
3,"
I work in the NHS and with their finance package -Affinity? Would give a £2k discount Straight off For NHS workers. I Will have to read up on it. New car/new model but I am sure as Fiat dealers they can still do a deal.
 
","
MarkyM
"
4,"
I noticed this site seems to have some really good prices - £23.5k for the La Prima hatch. No connection and I've never used them before, so can't vouch for them.



https://www.uk-car-discount.co.uk/vehicle/cars/fiat/500-hatchback/3-door-hatch-bev-118-long-range-la-prima/2021


 
","
tophatron
"
5,"Thanks, Son's in NHS so its a possible route to take, looking @tophatron post, good prices.
 
","
WillWord
"
6,"
We’ve also got our test drive on Tuesday. Car has been on order now for over a year now and Mrs is very excited, especially after reading this review. As I said on another thread, I think Fiat have got this spot on.
 
","
Oilymo
"
7,"
Forgot to mention the excellent turning circle (not quite Honda-e or BMW i3 small but almost and still great so this city car is easily manoeuvrable. 
And surprised by the high quality of the rear view park camera. Pin sharp/high resolution/colourful. Compared to our newish e-208 which has a pretty low res rear view camera.I was just surprised by the all round quality of the Fiat. 
And it had a normal sized and useable glove box. Not massive but not full of a fuse box as far as I could tell!

Have now read up on Fiat website and they do say you can do 1 pedal driving so please try this for me. I drove mostly in the default Normal Mode but there was definite re-gen in Range Mode, but did not try it around town in that mode. This should be a feature of all EVs -1 pedal driving as helps to charge battery and improves range. e-208 has minimal re-gen and ID3 also did not regen much in its equivalent ""B"" mode.
 
","
MarkyM
"
8,"
You can definitely one pedal drive in range mode. I tried it on my test drive and it worked well. It’ll bring you down to a standstill and then engage the auto hold - just like a Tesla Model 3.
 
","
tophatron
"
9,"
Did you find the start up chimes/sound and low speed sounds to be irritating? Or aren’t they that noticeable?
 
","
Kronospace
"
